Temp(C),Temp (K),ftmprt,sr,xi,xs,ak1,Inter-S,Inter-E,delt,Portions
10.5,283.5,10.16155203,25888.44549,0.999961374,1.308519026,0.046241864,0.67613326,0.70471014,0,1.000729377
10.7,283.7,10.46683116,35130.71717,0.999971536,1.280402143,0.047747928,0.70471014,0.731552312,0,1.000729377
10.6,283.6,10.31424542,30159.2036,0.999966844,1.294379285,0.046989128,0.731552312,0.757387325,0,1.000729377
10.2,283.2,9.702824859,16363.7673,0.999938893,1.351934027,0.044067626,0.757387325,0.783018682,0,1.000729377
10.2,283.2,9.702824859,16363.7673,0.999938893,1.351934027,0.044067626,0.783018682,0.807545053,0,1.000729377
9.9,282.9,9.243124779,10333.27737,0.999903235,1.396886181,0.04199133,0.807545053,0.831779883,0,1.000729377
9.1,282.1,8.012477845,3018.386949,0.999668807,1.524720097,0.036901862,0.831779883,0.856884613,0,1.000729377
8.4,281.4,6.929921819,1022.414044,0.999022878,1.646807988,0.032937386,0.856884613,0.882478807,0,1.000729377
9.1,282.1,8.012477845,3018.386949,0.999668807,1.524720097,0.036901862,0.882478807,0.905746751,0,1.000729377
13.4,286.4,14.54636872,2076862.117,0.999999519,0.957815093,0.073275885,0.905746751,0.909425671,0,1.000729377
16.6,289.6,19.28287293,236834686,0.999999996,0.68377869,0.120481955,0.909425671,0.883813178,0,1.000729377
17.9,290.9,21.17731179,1574670358,0.999999999,0.597549858,0.14699378,0.883813178,0.844680795,0,1.000729377
18.8,291.8,22.47895819,5787453319,1,0.544692053,0.16851848,0.844680795,0.798157236,0,1.000729377
19.7,292.7,23.77259993,21101288284,1,0.496792793,0.193032811,0.798157236,0.745254191,0,1.000729377
19.4,292.4,23.34227086,13722063679,1,0.512239653,0.184505909,0.745254191,0.705994743,0,1.000729377
19.1,292.1,22.91105786,8915506107,1,0.528200024,0.176339303,0.705994743,0.677251291,0,1.000729377
18.7,291.7,22.33472746,5010128797,1,0.550310774,0.165985951,0.677251291,0.657836771,0,1.000729377
17.8,290.8,21.03218707,1361955089,0.999999999,0.603752234,0.14477114,0.657836771,0.650547273,0,1.000729377
15.8,288.8,18.10858726,73191310.12,0.999999986,0.743366534,0.106507562,0.650547273,0.659924965,0,1.000729377
