Temp(C),Portions
8.9,16.91812806
9.1,16.91812806
10.3,16.91812806
12.4,16.91812806
13.3,16.91812806
13.8,16.91812806
14.2,16.91812806
14.4,16.91812806
14.8,16.91812806
14.5,16.91812806
13.8,16.91812806
13.1,16.91812806
12.4,16.91812806
11.8,16.91812806
11.5,16.91812806
11.5,16.91812806
11.7,16.91812806
11.8,16.91812806
11.8,16.91812806
11.8,16.91812806
11.8,16.91812806
11.6,16.91812806
11.5,16.91812806
11.4,16.91812806
11.3,16.91812806
11,16.91812806
11.7,16.91812806
12.7,16.91812806
13.3,16.91812806
13.9,16.91812806
14.6,16.91812806
15.6,16.91812806
15.6,16.91812806
14.9,16.91812806
14.2,16.91812806
13.3,16.91812806
12.7,16.91812806
12.7,16.91812806
12.8,16.91812806
12.8,16.91812806
12.5,16.91812806
12.2,16.91812806
11.9,16.91812806
11.1,16.91812806
10.6,16.91812806
10.2,17.92533876
10.5,17.92533876
11,17.92533876
11.2,17.92533876
11.1,17.92533876
12.2,17.92533876
13.2,17.92533876
14.7,17.92533876
15.9,17.92533876
15.3,17.92533876
15.6,17.92533876
15.1,17.92533876
14.6,17.92533876
13.9,17.92533876
13.5,17.92533876
13.4,17.92533876
13.2,17.92533876
13.2,17.92533876
13.2,17.92533876
13,17.92533876
13.1,17.92533876
13.1,17.92533876
12.9,17.92533876
12.5,17.92533876
12.4,17.92533876
12.2,17.92533876
12.3,17.92533876
12.5,17.92533876
12.7,17.92533876
12.8,17.92533876
13.4,17.92533876
14,17.92533876
14.3,17.92533876
14.6,17.92533876
15,17.92533876
14.7,17.92533876
15.2,17.92533876
16.5,17.92533876
16.7,17.92533876
16.7,17.92533876
16.3,17.92533876
16.3,17.92533876
16.4,17.92533876
16.1,17.92533876
15.4,17.92533876
15.1,17.92533876
15,17.92533876
14.7,17.92533876
14.8,17.92533876
14.7,17.92533876
14.1,17.92533876
13.6,17.92533876
13.3,17.92533876
14.1,17.92533876
14.9,17.92533876
15.6,17.92533876
16.4,17.92533876
17,17.92533876
17.2,17.92533876
17.2,17.92533876
16.5,17.92533876
15.6,17.92533876
14.7,17.92533876
13.6,17.92533876
12.7,17.92533876
12.4,17.92533876
12,17.92533876
10.3,17.92533876
11.1,17.92533876
11.2,17.92533876
